name,main_category,image,ratings,no_of_ratings,actual_price,source_file,actual_price_usd,ranking_score,product_id,search_text
Marks & Spencer Women Bra,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61vn4lvKStS._AC_UL320_.jpg,5.0,1,2299,Womens Innerwear.csv,25.29,3.61,43,product: marks & spencer women bra. category: womens innerwear. price: $25.29. rating: 5.0 out of 5. reviews: 1. marks & spencer women bra
Blue Nixie BNF357 Eliza Women's Full Coverage Bra,Womens Innerwear,https://m.media-amazon.com/images/I/61UIXeoX83L._AC_UL320_.jpg,3.3,3,415,Womens Innerwear.csv,4.56,2.68,44,product: blue nixie bnf357 eliza women's full coverage bra. category: womens innerwear. price: $4.56. rating: 3.3 out of 5. reviews: 3. blue nixie bnf357 eliza women's full coverage bra
AV2 Women's Cotton All Over Print Top and Pyjama Set Pack of 1,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/712qf3xYcdL._AC_UL320_.jpg,4.3,526,2899,Womens Innerwear.csv,31.89,4.25,45,product: av2 women's cotton all over print top and pyjama set pack of 1. category: womens innerwear. price: $31.89. rating: 4.3 out of 5. reviews: 526. av2 women's cotton all over print top and pyjama set pack of 1
Jockey Women's Cotton Spaghetti Top,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71T-sqnLXZL._AC_UL320_.jpg,4.3,145,399,Womens Innerwear.csv,4.39,4.09,46,product: jockey women's cotton spaghetti top. category: womens innerwear. price: $4.39. rating: 4.3 out of 5. reviews: 145. jockey women's cotton spaghetti top
INTIMACY LINGERIE Women's Cotton Camisoles/Slips (Pack of 1) (All),Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61qoDHC0zBL._AC_UL320_.jpg,5.0,4,210,Womens Innerwear.csv,2.31,3.93,47,product: intimacy lingerie women's cotton camisoles/slips (pack of 1) (all). category: womens innerwear. price: $2.31. rating: 5.0 out of 5. reviews: 4. intimacy lingerie women's cotton camisoles/slips (pack of 1) (all)
Marks & Spencer Polyester Marks and Spencer Women's Briefs (Pack of 5),Womens Innerwear,https://m.media-amazon.com/images/I/71f1g5o04rL._AC_UL320_.jpg,4.1,15,1499,Womens Innerwear.csv,16.49,3.56,48,product: marks & spencer polyester marks and spencer women's briefs (pack of 5). category: womens innerwear. price: $16.49. rating: 4.1 out of 5. reviews: 15. marks & spencer polyester marks and spencer women's briefs (pack of 5)
"A ForeAN Women’s Babydoll Lingerie Set and Bikini Panty-Bra Set (Maroon, Free Size)",Womens Innerwear,https://m.media-amazon.com/images/I/41L1DFP750L._AC_UL320_.jpg,5.0,1,999,Womens Innerwear.csv,10.99,3.61,49,"product: a forean women’s babydoll lingerie set and bikini panty-bra set (maroon, free size). category: womens innerwear. price: $10.99. rating: 5.0 out of 5. reviews: 1. a forean women’s babydoll lingerie set and bikini panty-bra set (maroon, free size)"
GMR women's cotton camisole (Multicolored ) pack of 5,Womens Innerwear,https://m.media-amazon.com/images/I/31M8l179reL._AC_UL320_.jpg,4.2,38,999,Womens Innerwear.csv,10.99,3.8,50,product: gmr women's cotton camisole (multicolored ) pack of 5. category: womens innerwear. price: $10.99. rating: 4.2 out of 5. reviews: 38. gmr women's cotton camisole (multicolored ) pack of 5
Generic Women's Cotton Panties (Pack of 6) (P01_Multicolor_M),Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/612PYAlNt8L._AC_UL320_.jpg,3.0,11,999,Womens Innerwear.csv,10.99,2.73,51,product: generic women's cotton panties (pack of 6) (p01_multicolor_m). category: womens innerwear. price: $10.99. rating: 3.0 out of 5. reviews: 11. generic women's cotton panties (pack of 6) (p01_multicolor_m)
JMT Wear Women's Poly Cotton Padded Underwired Push-Up Bra,Womens Innerwear,https://m.media-amazon.com/images/I/61vsbMQFXvL._AC_UL320_.jpg,1.0,1,999,Womens Innerwear.csv,10.99,0.81,52,product: jmt wear women's poly cotton padded underwired push-up bra. category: womens innerwear. price: $10.99. rating: 1.0 out of 5. reviews: 1. jmt wear women's poly cotton padded underwired push-up bra
Enamor Women's Sporty Fit Stretch Cotton Non-Padded Antimicrobial Beginners Slip-on Wireless Sports Teenager Bra - BB04,Womens Innerwear,https://m.media-amazon.com/images/I/61t3CFgpbsL._AC_UL320_.jpg,4.2,213,449,Womens Innerwear.csv,4.94,4.08,53,product: enamor women's sporty fit stretch cotton non-padded antimicrobial beginners slip-on wireless sports teenager bra - bb04. category: womens innerwear. price: $4.94. rating: 4.2 out of 5. reviews: 213. enamor women's sporty fit stretch cotton non-padded antimicrobial beginners slip-on wireless sports teenager bra - bb04
Freckles Sensitra Sexy Women Lace Panty/Underwear - High Waist Full Coverage Ladies Briefs to Hide Muffin Top and Side Bulges,Womens Innerwear,https://m.media-amazon.com/images/I/51Du8Nkx43L._AC_UL320_.jpg,4.0,259,599,Womens Innerwear.csv,6.59,3.95,54,product: freckles sensitra sexy women lace panty/underwear - high waist full coverage ladies briefs to hide muffin top and side bulges. category: womens innerwear. price: $6.59. rating: 4.0 out of 5. reviews: 259. freckles sensitra sexy women lace panty/underwear - high waist full coverage ladies briefs to hide muffin top and side bulges
Star Breeze Women Hipster Multicolor Soft Cotton Panty,Womens Innerwear,https://m.media-amazon.com/images/I/61KRxQgnfDL._AC_UL320_.jpg,4.5,2,799,Womens Innerwear.csv,8.79,3.43,55,product: star breeze women hipster multicolor soft cotton panty. category: womens innerwear. price: $8.79. rating: 4.5 out of 5. reviews: 2. star breeze women hipster multicolor soft cotton panty
Clovia Women's Cotton Base Strawberry Print Shirt & Pyjama,Womens Innerwear,https://m.media-amazon.com/images/I/61oHlf5h5+L._AC_UL320_.jpg,3.0,1,1899,Womens Innerwear.csv,20.89,2.21,56,product: clovia women's cotton base strawberry print shirt & pyjama. category: womens innerwear. price: $20.89. rating: 3.0 out of 5. reviews: 1. clovia women's cotton base strawberry print shirt & pyjama
Enamor Women's Cotton Non-Padded Wire Free Casual Seamless Bra,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51FtV2yXpHL._AC_UL320_.jpg,4.5,2,339,Womens Innerwear.csv,3.73,3.43,57,product: enamor women's cotton non-padded wire free casual seamless bra. category: womens innerwear. price: $3.73. rating: 4.5 out of 5. reviews: 2. enamor women's cotton non-padded wire free casual seamless bra
"MG Tech Tummy Tucker Women Shape wear with 3 Bra Extender, & Tummy Shaper for Women, Body Shaper, Tummy tucker Women Belly...",Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61P1WV9xEYL._AC_UL320_.jpg,4.9,33,1199,Womens Innerwear.csv,13.19,4.26,58,"product: mg tech tummy tucker women shape wear with 3 bra extender, & tummy shaper for women, body shaper, tummy tucker women belly.... category: womens innerwear. price: $13.19. rating: 4.9 out of 5. reviews: 33. mg tech tummy tucker women shape wear with 3 bra extender, & tummy shaper for women, body shaper, tummy tucker women belly..."
